ID	Titles
3719	042913-SludgeD1_13-18, Cmpd 26940, +MSn(579.3521), 61.26 min
3728	042913-SludgeD1_1-6, Cmpd 15096, +MSn(624.3199), 35.79 min
3793	042913-SludgeD1_19-24, Cmpd 12059, +MSn(428.9051), 26.65 min
3797	042913-SludgeD1_13-18, Cmpd 16686, +MSn(414.8924), 36.00 min
3816	042913-SludgeD1_19-24, Cmpd 7966, +MSn(606.9531), 19.23 min
3820	042913-SludgeD1_1-6, Cmpd 11531, +MSn(446.2403), 28.16 min
3838	042913-SludgeD1_13-18, Cmpd 8443, +MSn(463.5425), 20.15 min
3862	042913-SludgeD1_25-30, Cmpd 18317, +MSn(516.5408), 37.94 min
3870	042913-SludgeD1_19-24, Cmpd 19017, +MSn(467.5853), 40.15 min
3910	042913-SludgeD1_25-30, Cmpd 18311, +MSn(519.8761), 37.93 min
3917	042913-SludgeD1_13-18, Cmpd 20472, +MSn(547.2869), 44.98 min
3932	042913-SludgeD1_13-18, Cmpd 28460, +MSn(896.5), 65.16 min;042913-SludgeD1_19-24, Cmpd 28860, +MSn(896.5), 65.43 min;042913-SludgeD1_1-6, Cmpd 27145, +MSn(896.4987), 65.46 min;042913-SludgeD1_1-6, Cmpd 26935, +MSn(896.4973), 64.93 min;042913-SludgeD1_19-24, Cmpd 28795, +MSn(896.4972), 65.26 min;042913-SludgeD1_1-6, Cmpd 27006, +MSn(896.497), 65.11 min;042913-SludgeD1_1-6, Cmpd 27288, +MSn(896.498), 65.82 min;042913-SludgeD1_19-24, Cmpd 28732, +MSn(896.5), 65.09 min;042913-SludgeD1_13-18, Cmpd 28530, +MSn(896.4976), 65.33 min;042913-SludgeD1_13-18, Cmpd 28390, +MSn(896.4957), 64.98 min
3939	042913-SludgeD1_1-6, Cmpd 10987, +MSn(621.5856), 27.11 min
3943	042913-SludgeD1_25-30, Cmpd 20170, +MSn(664.3634), 42.41 min
3958	042913-SludgeD1_19-24, Cmpd 4920, +MSn(698.65), 12.24 min;042913-SludgeD1_25-30, Cmpd 4929, +MSn(698.6493), 12.22 min;042913-SludgeD1_13-18, Cmpd 4965, +MSn(698.649), 12.32 min;042913-SludgeD1_25-30, Cmpd 4861, +MSn(698.6487), 12.04 min;042913-SludgeD1_13-18, Cmpd 4894, +MSn(698.6495), 12.14 min
3980	042913-SludgeD1_13-18, Cmpd 21124, +MSn(767.0629), 46.66 min;042913-SludgeD1_25-30, Cmpd 21777, +MSn(767.0634), 46.55 min;042913-SludgeD1_1-6, Cmpd 19761, +MSn(767.0625), 47.36 min;042913-SludgeD1_13-18, Cmpd 21206, +MSn(767.0631), 46.86 min;042913-SludgeD1_25-30, Cmpd 21855, +MSn(767.0637), 46.75 min;042913-SludgeD1_1-6, Cmpd 19911, +MSn(767.0636), 47.73 min;042913-SludgeD1_1-6, Cmpd 19691, +MSn(767.0616), 47.19 min;042913-SludgeD1_1-6, Cmpd 19831, +MSn(767.0632), 47.54 min;042913-SludgeD1_19-24, Cmpd 21591, +MSn(767.0648), 46.75 min;042913-SludgeD1_1-6, Cmpd 19620, +MSn(767.065), 47.02 min
4013	042913-SludgeD1_25-30, Cmpd 26415, +MSn(508.3274), 58.30 min
4118	042913-SludgeD1_19-24, Cmpd 9190, +MSn(602.9443), 21.51 min
4120	042913-SludgeD1_25-30, Cmpd 17078, +MSn(464.2322), 35.43 min
4121	042913-SludgeD1_19-24, Cmpd 5834, +MSn(406.8703), 14.57 min
4128	042913-SludgeD1_13-18, Cmpd 20404, +MSn(479.2567), 44.81 min
4211	042913-SludgeD1_13-18, Cmpd 27835, +MSn(483.6477), 63.54 min
4225	042913-SludgeD1_25-30, Cmpd 21651, +MSn(483.6466), 46.22 min
4254	042913-SludgeD1_13-18, Cmpd 12595, +MSn(446.2425), 27.99 min
4338	042913-SludgeD1_19-24, Cmpd 36147, +MSn(540.0288), 84.08 min
4362	042913-SludgeD1_13-18, Cmpd 25414, +MSn(476.6245), 57.50 min;042913-SludgeD1_25-30, Cmpd 26230, +MSn(476.63), 57.83 min;042913-SludgeD1_13-18, Cmpd 25485, +MSn(476.6242), 57.67 min;042913-SludgeD1_19-24, Cmpd 25943, +MSn(476.63), 57.84 min;042913-SludgeD1_1-6, Cmpd 23970, +MSn(476.6246), 57.48 min
4399	042913-SludgeD1_19-24, Cmpd 14323, +MSn(410.2365), 30.93 min
4470	042913-SludgeD1_13-18, Cmpd 18356, +MSn(533.6244), 39.79 min
4472	042913-SludgeD1_1-6, Cmpd 5796, +MSn(409.91), 15.84 min;042913-SludgeD1_1-6, Cmpd 5713, +MSn(409.9063), 15.64 min
4507	042913-SludgeD1_13-18, Cmpd 7567, +MSn(427.2191), 18.45 min
4547	042913-SludgeD1_1-6, Cmpd 4950, +MSn(426.5424), 13.74 min
4560	042913-SludgeD1_13-18, Cmpd 18457, +MSn(533.6245), 40.01 min
4570	042913-SludgeD1_13-18, Cmpd 26963, +MSn(555.2933), 61.32 min
4586	042913-SludgeD1_13-18, Cmpd 16271, +MSn(444.9029), 35.13 min
4643	042913-SludgeD1_13-18, Cmpd 18871, +MSn(775.7366), 40.98 min
4683	042913-SludgeD1_19-24, Cmpd 17294, +MSn(416.8962), 36.29 min
4717	042913-SludgeD1_1-6, Cmpd 11191, +MSn(461.8884), 27.51 min
4727	042913-SludgeD1_1-6, Cmpd 28917, +MSn(716.6963), 69.92 min
4728	042913-SludgeD1_19-24, Cmpd 19184, +MSn(615.6534), 40.57 min
4734	042913-SludgeD1_13-18, Cmpd 16917, +MSn(768.7562), 36.49 min
4746	042913-SludgeD1_13-18, Cmpd 16267, +MSn(464.2313), 35.12 min
4781	042913-SludgeD1_13-18, Cmpd 11049, +MSn(561.5939), 25.01 min
4788	042913-SludgeD1_1-6, Cmpd 16221, +MSn(602.6), 38.40 min;042913-SludgeD1_1-6, Cmpd 16136, +MSn(602.6014), 38.19 min
4816	042913-SludgeD1_1-6, Cmpd 13198, +MSn(505.2487), 31.74 min
4860	042913-SludgeD1_25-30, Cmpd 5107, +MSn(424.2331), 12.67 min
4866	042913-SludgeD1_13-18, Cmpd 5320, +MSn(595.9255), 13.23 min;042913-SludgeD1_13-18, Cmpd 5390, +MSn(595.9266), 13.40 min
4910	042913-SludgeD1_25-30, Cmpd 6552, +MSn(438.5395), 16.28 min
4915	042913-SludgeD1_19-24, Cmpd 7930, +MSn(464.561), 19.16 min
4924	042913-SludgeD1_1-6, Cmpd 15235, +MSn(581.9636), 36.10 min
4926	042913-SludgeD1_1-6, Cmpd 6684, +MSn(597.9132), 18.03 min;042913-SludgeD1_1-6, Cmpd 6604, +MSn(597.9125), 17.84 min
4936	042913-SludgeD1_1-6, Cmpd 19651, +MSn(574.619), 47.10 min
4989	042913-SludgeD1_25-30, Cmpd 11407, +MSn(633.2597), 25.09 min
5014	042913-SludgeD1_1-6, Cmpd 16569, +MSn(563.273), 39.25 min
5033	042913-SludgeD1_13-18, Cmpd 9787, +MSn(477.5496), 22.64 min
5070	042913-SludgeD1_25-30, Cmpd 5044, +MSn(465.5845), 12.51 min;042913-SludgeD1_25-30, Cmpd 5113, +MSn(465.5847), 12.69 min
5156	042913-SludgeD1_1-6, Cmpd 5617, +MSn(544.9319), 15.40 min
5170	042913-SludgeD1_13-18, Cmpd 11261, +MSn(637.9309), 25.43 min
5183	042913-SludgeD1_25-30, Cmpd 11180, +MSn(462.908), 24.70 min
5189	042913-SludgeD1_13-18, Cmpd 7836, +MSn(464.5652), 19.00 min
5197	042913-SludgeD1_25-30, Cmpd 15944, +MSn(611.9777), 33.38 min
5245	042913-SludgeD1_19-24, Cmpd 12122, +MSn(500.949), 26.77 min
5316	042913-SludgeD1_13-18, Cmpd 20261, +MSn(598.9432), 44.45 min
5326	042913-SludgeD1_13-18, Cmpd 7471, +MSn(447.8966), 18.25 min
5327	042913-SludgeD1_1-6, Cmpd 7730, +MSn(562.9361), 20.53 min
5333	042913-SludgeD1_19-24, Cmpd 10632, +MSn(420.5636), 24.14 min
5373	042913-SludgeD1_1-6, Cmpd 14648, +MSn(491.9352), 34.78 min
5408	042913-SludgeD1_25-30, Cmpd 7897, +MSn(424.5513), 18.94 min
5418	042913-SludgeD1_13-18, Cmpd 11846, +MSn(542.9344), 26.56 min;042913-SludgeD1_13-18, Cmpd 11949, +MSn(542.9347), 26.76 min;042913-SludgeD1_13-18, Cmpd 12057, +MSn(542.9356), 26.95 min
5475	042913-SludgeD1_1-6, Cmpd 14439, +MSn(460.5816), 34.33 min
5523	042913-SludgeD1_1-6, Cmpd 18883, +MSn(619.5809), 45.14 min
5535	042913-SludgeD1_13-18, Cmpd 12165, +MSn(464.9127), 27.15 min
5539	042913-SludgeD1_25-30, Cmpd 7168, +MSn(463.5716), 17.56 min
5566	042913-SludgeD1_1-6, Cmpd 6144, +MSn(438.5408), 16.70 min
5606	042913-SludgeD1_13-18, Cmpd 9963, +MSn(472.5612), 23.00 min
5618	042913-SludgeD1_19-24, Cmpd 15513, +MSn(485.2427), 33.01 min
5663	042913-SludgeD1_19-24, Cmpd 10610, +MSn(445.9184), 24.10 min
